Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions
3672754654734989568,0.009073845984502745,566.59765978,0.18527447769074115,-0.4607807947540967,0.4430379746835443,210,474
3733192481840423936,0.0050346191244008765,2923.97719988,0.06026543766319221,-0.7603550322920538,0.8026124818577649,553,689
3768170840939476993,0.0,243.66889897,0.4242774564031249,0.0,0.42857142857142855,6,14
3784403294629753856,0.006833408347206974,2521.81430468,0.10658506601925931,-0.17726106940104958,0.3023140495867769,1829,6050
3786761687746711808,0.006883123081523415,205.02139999,0.2151504978408805,-2.3182124312164807,0.45121951219512196,37,82
3788465932399412480,0.016541557740414596,13960.966456670001,0.15291214877945766,-0.22426255689216867,0.44607363962202673,1369,3069
3818233536529843712,0.014534008561877176,6419.607907139999,0.15428219254946454,-0.9319387063687504,0.3391977480647431,482,1421
3819545518395756033,0.0,980.06319996,0.21472291715119343,0.0,0.38235294117647056,26,68
3826087012661391104,0.27026317818067985,532.65697373,0.6751014185094156,-0.05034773356167872,0.5833333333333334,63,108
3858510226868015873,0.0,-280.97295039,-0.013558252740182589,-6.255267959451345,0.24397590361445784,243,996
3865845304835489536,0.0,1406.06618669,0.24357476133916586,-1.1177760690999894,0.5113378684807256,451,882
3878631538480067329,0.008173599314778313,3921.2330411600005,0.1560663569165325,-0.2903857914851584,0.5033795802205621,1415,2811
3879821005658659073,0.0443110310777003,4268.00656095,0.13094012831820384,-42.58664586138808,0.33142201834862384,289,872
3880920727367689984,-0.0021901573896864293,-176.82699999000002,-0.03862775677475677,-8.08406995561114,0.33793103448275863,49,145
3886752488982104320,0.017948772411648783,7195.178324640001,0.2217135876666527,-0.030570947252791882,0.745396317053643,931,1249
3887577207880438784,0.0,2417.51403674,0.08791090507202144,-0.6817660809437054,0.4781818181818182,2893,6050
3891020560590657281,0.037908962003235964,2856.30056379,0.4324770259531958,0.0,0.6475972540045767,283,437
3907081197088384000,0.0,18015.997370259996,0.2227292925910845,-0.24290796239180892,0.6139714769156394,2540,4137
3910887259807777281,0.019927417297415366,1803.3020100100002,0.10829621222172861,-0.35731454229207127,0.22666666666666666,17,75
3910983669796782848,0.014290866285612411,6761.648048249999,0.33103886186548676,-0.24108051153992885,0.428125,274,640
3911997667197443328,0.012177789542152944,605.72231024,0.17285573562279435,-8.342356046152167,0.46875,30,64
3914654298562589441,0.0,343.47044905000075,0.010976836334010422,-1.3328479030481628,0.4140786749482402,200,483
3919174299855478272,0.0,1456.3718076200003,0.011491608845265384,-1.0597447582798942,0.48066298342541436,609,1267
3923766029921022977,0.003129362135268577,772.7290318900001,0.07238099702504483,-0.3546185908456346,0.2851469420174742,359,1259
3925368433214965504,0.007377665963139569,6789.436738630001,0.2748734037095989,-0.0403372353114207,0.3333333333333333,486,1458
3926423286576838657,0.002712847277210551,1309.4599595900002,0.050259836011489194,-0.5423807352680015,0.3410041841004184,163,478
3930688517098515713,0.006032506822838831,1947.24457347,0.06311486826947774,-0.8991870812790261,0.4861111111111111,140,288
3931992636670880512,0.0,10374.96528998,0.050796275472005006,-0.42428009807275074,0.40165289256198344,2430,6050
3932103299427844097,0.004360949029165884,3860.3097053499996,0.0833221058818555,-7.609960868731804,0.3005021243723445,778,2589
3935808725185052672,0.002372417345354819,2301.9641228599994,0.06325386386802202,-1.1562643522573728,0.3510204081632653,602,1715
3936410995029308417,0.026286487018580044,10681.514000000001,0.29898370047919265,0.0,0.3,6,20
3937714876784951296,0.0018695902269190868,1117.5308932100006,0.016314451097396952,-inf,0.3933463796477495,201,511
3939318616482048768,0.0,9775.389109840002,0.2038294609803751,-0.019028925882213492,0.3746031746031746,118,315
3939925275039085824,0.013226646196973562,2378.8786707,0.22595328142597082,-0.2789239964705323,0.3623481781376518,2148,5928
3941019213896463617,0.009962171332877003,4234.087790029999,0.08777363799755793,-2.4350618973431084,0.49107142857142855,55,112
3942630767220672256,0.0,6611.89848042,0.06797969001775618,-0.9825575352122137,0.3829744415375327,1903,4969
3943533600390906881,0.0,2361.4245720499994,0.42807920222246326,-0.014246522776996449,0.5480386583285958,964,1759
3944088772635000577,0.0,7581.491983399999,0.29914107625654696,-0.01309295336949778,0.4575292759360053,2774,6063
3944239644144231424,-0.0025190441514417556,-1187.8909756799994,-0.023731314255788376,-inf,0.26456876456876455,227,858
3944658614777849089,0.03012952634715306,2074.4499799600003,0.4074903672652917,0.0,0.4444444444444444,20,45
3946087913459823360,0.0,-40.667241669999996,-0.005708494004031481,-11.186052604330314,0.3171733771569433,1930,6085
3949214983441029120,0.006638729215522995,1317.5775589599998,0.05876960185539697,-0.653673066595388,0.369757174392936,1675,4530
3949329502284748801,0.0,425.96505789,0.13607138346451803,-0.2761719610563098,0.1875,72,384
3951723256343550465,0.004035384756823448,5260.022863890001,0.05837825364318928,-inf,0.3524804177545692,1215,3447
3952087967771302912,0.0,1032.60525986,0.1736691732688759,0.0,0.3372093023255814,58,172
3953433416230728705,0.008208147573717945,4924.761779980001,0.1671040266501724,-6.146108550855939,0.20872865275142316,110,527
3953764659057081857,0.00769849070516721,6048.86608919,0.12403094507422269,-0.29578044535867226,0.30874785591766724,180,583
3956048468100538880,0.026885244371068807,1373.56489,0.524861880311556,0.0,0.7142857142857143,20,28
3956076827719377409,0.020529904789269863,16790.01223802,0.09952801745500052,-0.2461429331885709,0.5155771195097038,2019,3916
3957509601040585217,0.00647024768566722,3174.1803667200006,0.02523009867096176,-15.468070778595635,0.2695417789757412,300,1113
3960874214179953664,0.004588459999918783,19567.47128569,0.1629478150253227,-34.536210321481484,0.5156838143036386,1233,2391
3962024093501274881,0.0028724375173676386,9314.494060179999,0.07406717883080471,-inf,0.26472898664571876,337,1273
3966142151544441601,0.006030286761496565,4883.80077594,0.0524887643645033,-181.3815097958517,0.5320910973084886,1028,1932
3975304792994095360,0.0,2536.0810463,0.26256500497746604,-0.04849547326841863,0.4265791632485644,1040,2438
