Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,Score,Rank
3672754654734989568,0.04304900603366995,0.15309973898201193,0.34952580951524814,,0.5519948726165678,210,474,,1
3733192481840423936,0.02825000131885734,0.18104881122934272,0.18351788439114325,,1.0,553,689,,2
3768170840939476993,0.009804057394475922,0.1492710982760538,0.6669139646901036,,0.5339705502454146,6,14,,3
3784403294629753856,0.034840443279968235,0.1762807712841654,0.245028839072627,,0.3766625319444652,1829,6050,,4
3786761687746711808,0.035022589173978776,0.14881289384914814,0.3892001891840912,,0.5621885061526927,37,82,,5
3788465932399412480,0.0704093661501636,0.31190326418601505,0.30654969295950096,,0.5557771025308795,1369,3069,,6
3818233536529843712,0.06305406505235792,0.22249297986035288,0.30836906637071926,,0.4226170857443183,482,1421,,7
3819545518395756033,0.009804057394475922,0.15800178299219378,0.38863237598352235,,0.4763854909052228,26,68,,8
3826087012661391104,1.0,0.15269733849011013,1.0,,0.7267932489451477,63,108,,9
3858510226868015873,0.009804057394475922,0.14305094886765016,0.08548243298564677,,0.30397721083248,243,996,,10
3865845304835489536,0.009804057394475922,0.163052470864538,0.4269466834015598,,0.6370918469859311,451,882,,11
3878631538480067329,0.03975066326383349,0.19287226820047812,0.3107383784188083,,0.6271763666762518,1415,2811,,12
3879821005658659073,0.1721517493041491,0.19698361217085159,0.27737156690755066,,0.412929060835808,289,872,,13
3880920727367689984,0.0017797124743360027,0.14428570239056954,0.052190949843684484,,0.42103884766477523,49,145,,14
3886752488982104320,0.07556514899565175,0.23168813628844362,0.39791575826725073,,0.928712590325425,931,1249,,15
3887577207880438784,0.009804057394475922,0.1750441881737735,0.22023016282008262,,0.5957816866677627,2893,6050,,16
3891020560590657281,0.14869571335989312,0.18024643759397319,0.6778027254358711,,0.8068616781359012,283,437,,17
3907081197088384000,0.009804057394475922,0.35997967701696665,0.39926458125642095,,0.7649662705151455,2540,4137,,18
3910887259807777281,0.08281454993488523,0.16776209548642967,0.2473011853812885,,0.28241109101868594,17,75,,19
3910983669796782848,0.06216323524322911,0.2265482049324111,0.5430961542559946,,0.5334143309222422,274,640,,20
